Postcode, Earliest Achieveable Weekday Del Time, Saturday, Depot, Area
AB10,16:00,-,296,13
AB11,16:00,-,296,13
AB12,16:00,-,296,13
AB13,16:00,-,296,13
AB14,16:00,-,296,13
AB15,16:00,-,296,13
AB16,16:00,-,296,13
AB21,16:00,-,296,13
AB22,16:00,-,296,13
AB23,16:00,-,296,13
AB24,16:00,-,296,13
AB25,16:00,-,296,13
AB30,2 days,-,296,13
AB31,2 days,-,296,13
AB32,2 days,-,296,13
AB33,2 days,-,296,13
AB34,2 days,-,296,13
AB35,2 days,-,296,13
AB36,2 days,-,97,13
AB37,2 days,-,97,8
AB38,2 days,-,97,8
AB39,2 days,-,296,13
AB41,2 days,-,296,13
AB42,2 days,-,296,13
AB43,2 days,-,296,8
AB44,2 days,-,97,8
AB45,2 days,-,97,8
AB51,2 days,-,296,13
AB52,2 days,-,296,13
AB53,2 days,-,296,13
AB54,2 days,-,296,13
AB55,2 days,-,97,8
AB56,2 days,-,97,8
AL1 ,10:30,10:30,21,0
AL2 ,10:30,10:30,21,0
AL3 ,10:30,10:30,21,0
AL4 ,10:30,10:30,21,0
AL5 ,10:30,10:30,21,0
AL6 ,10:30,10:30,31,0
AL7 ,10:30,10:30,31,0
AL8 ,10:30,10:30,31,0
AL9 ,10:30,10:30,31,0
AL10,10:30,10:30,31,0
B1  ,10:30,10:30,42,0
B2  ,10:30,10:30,42,0
B3  ,10:30,10:30,42,0
B4  ,10:30,10:30,42,0
B5  ,10:30,10:30,42,0
B6  ,10:30,10:30,42,0
B7  ,10:30,10:30,42,0
B8  ,10:30,10:30,42,0
B9  ,10:30,10:30,42,0
B10 ,10:30,10:30,42,0
B11 ,10:30,10:30,42,0
B12 ,10:30,10:30,42,0
B13 ,10:30,10:30,42,0
B14 ,10:30,10:30,42,0
B15 ,10:30,10:30,42,0
B16 ,10:30,10:30,42,0
B17 ,10:30,10:30,42,0
B18 ,10:30,10:30,42,0
B19 ,10:30,10:30,42,0
B20 ,10:30,10:30,42,0
B21 ,10:30,10:30,42,0
B23 ,10:30,10:30,42,0
B24 ,10:30,10:30,42,0
B25 ,10:30,10:30,42,0
B26 ,10:30,10:30,42,0
B27 ,10:30,10:30,42,0
B28 ,10:30,10:30,42,0
B29 ,10:30,10:30,42,0
B30 ,10:30,10:30,42,0
B31 ,10:30,10:30,42,0
B32 ,10:30,10:30,42,0
B33 ,10:30,10:30,42,0
B34 ,10:30,10:30,42,0
B35 ,10:30,10:30,42,0
B36 ,10:30,10:30,42,0
B37 ,10:30,10:30,42,0
B38 ,10:30,10:30,50,0
B40 ,10:30,10:30,42,0
B42 ,10:30,10:30,42,0
B43 ,10:30,10:30,42,0
B44 ,10:30,10:30,42,0
B45 ,10:30,10:30,50,0
B46 ,10:30,10:30,42,0
B47 ,10:30,10:30,50,0
B48 ,10:30,10:30,50,0
B49 ,10:30,10:30,50,0
B50 ,10:30,10:30,50,0
B60 ,10:30,10:30,50,0
