Ingredient,Pack Size (kg/L),Pack cost,£/(kg/L),Case Size,Supplier,Contact Details,Type,Brand ,Secondary supplier,"Unchopped to chopped / 
raw to cooked ratio"
Pepperoni,1.000,£10.28,£10.28,,Brakes,,Meat,C 135639,,100.00%
Salt,6.000,£7.85,£1.31,,AB Fruits,,Dough,,,100.00%
Red peppers,5.000,£13.95,£2.79,,AB Fruits,,Vegetables,,,84.70%
Red Onions,1.000,£3.05,£3.05,,AB Fruits,,Vegetables,,,100.00%
Mushrooms,2.500,£8.20,£3.28,,AB Fruits,,Vegetables,,,100.00%
Spring Onions,1.000,£5.80,£5.80,,AB Fruits,,Vegetables,,,87.00%
Courgettes,5.000,£10.95,£2.19,,AB Fruits,,Vegetables,,,95.69%
Tomatoes,6.000,£10.95,£1.83,,AB Fruits,,Vegetables,,,87.44%
Basil,0.100,£1.79,£17.90,,AB Fruits,,Herbs and Spices,,,60.16%
Rosemary,0.100,£1.79,£17.90,,AB Fruits,,Herbs and Spices,,,100.00%
Goats Cheese,1.000,£13.95,£13.95,,Aldi,,Cheese,,,100.00%
Chicken,1.000,£7.92,£7.92,,Best Butchers,01908 375275,Meat,,,77.17%
Pork,1.000,£5.85,£5.85,,Best Butchers,,Meat,,,73.00%
Chorizo,0.500,£5.55,£11.10,,Brakes,https://tapaslunchwholesale.co.uk/,Meat,C 149839,Basco Fine Foods,100.00%
Duck ,1.000,£11.99,£11.99,,Express food service,01837 811333,Meat,,,100.00%
Olive Oil,5.000,£39.99,£8.00,,Waterdene,,Dough,,,100.00%
Passata (Rodolfi),10.000,£16.50,£1.65,,A D Maria,,Base,,,100.00%
Demerrera Sugar,3.000,£7.85,£2.62,,Waterdene,,Herbs and Spices,,,100.00%
Balsamic Glaze,0.500,£2.62,£5.24,,A D Maria,,Sauces,,,100.00%
Artichoke (drained weight),0.540,£3.00,£5.56,,Costco,,Vegetables,,,100.00%
Jalapenos (Drained weight),3.000,£5.69,£1.90,,AB Fruits,,Vegetables,,,100.00%
Piri Piri Glaze (MRC),2.500,£18.39,£7.36,,Butcher Sundries,,Herbs and Spices,,Tesco,100.00%
Flour,15.000,£16.69,£1.11,,Express food service,,Dough,,www.adimaria.co.uk,100.00%
Yeast,0.500,£4.25,£8.50,,A D Maria,,Dough,,,100.00%
Feta,0.900,£13.49,£14.99,,Waterdene,,Cheese,,,100.00%
Chives,0.030,£0.70,£23.33,,Tesco,,Herbs and Spices,,,100.00%
Sliced Black Olives,0.170,£0.75,£4.41,,Tesco,,Vegetables,,,100.00%
Tomato Puree (paste),0.800,£2.43,£3.04,,A D Maria,01525 371367,Base,,,100.00%
Garlic Granules,0.700,£6.12,£8.74,,Waterdene,,Herbs and Spices,,,100.00%
Ground black pepper,0.500,£6.12,£12.24,,Waterdene,,Herbs and Spices,,,100.00%
Course Black Pepper,0.500,£6.26,£12.52,,Waterdene,,Herbs and Spices,,,100.00%
Paprika,0.550,£4.15,£7.55,,Waterdene,,Herbs and Spices,,,100.00%
Chilli powder,0.400,£4.45,£11.13,,Waterdene,,Herbs and Spices,,,100.00%
Oregano,0.150,£3.06,£20.40,,Waterdene,,Herbs and Spices,,,100.00%
Mixed Herbs,0.150,£3.02,£20.13,,Waterdene,,Herbs and Spices,,,100.00%
BBQ Sauce (lion sticky),2.200,£7.39,£3.36,,Waterdene,,Sauces,,,100.00%
Mayonnaise,10.000,£24.13,£2.41,,Waterdene,,Sauces,,,100.00%
Mozzarella,12.000,£47.99,£4.00,,Express food service,,Cheese,,,100.00%
Crushed chillis,0.300,£5.26,£17.53,,Waterdene,,Herbs and Spices,,,100.00%
Hoisin Sauce,2.000,£7.76,£3.88,,Wing Yip,,Sauces,,,100.00%
White onions,20.000,£16.50,£0.83,,Ab Fruits,,Vegetables,,,100.00%
Rib Meat,1.000,£15.00,£15.00,,The Rib Man,,Meat,,,100.00%
Ghekins,1.350,£3.89,£2.88,,Waterdene,,Vegetables,,,100.00%
Pomodori Peeled Plum Tomatoes,2.500,£2.64,£1.06,,AB Fruits,,Vegetables,,?,100.00%
Minced Garlic,1.360,£5.19,£3.82,,Costco,,Herbs and Spices,,,100.00%
Lemon Juice (Quick lemon),1.000,£2.44,£2.44,,Waterdene,,Sauces,,,100.00%
Burger Meat,1.000,£9.90,£9.90,,Best Butchers,,Meat,,,70.00%
Gherkin (drained weight),1.380,£7.04,£5.10,,Waterdene,,Vegetables,,,100.00%
Red Onion Chutney,1.250,£9.48,£7.58,4,Waterdene,,Sauces,,,100.00%
Burger Sauce,2.100,£15.00,£7.14,6,The Sauce Shop,,Sauces,,,100.00%
Fior Di Latte,10.000,£49.99,£5.00,6,Express food service,,Cheese,,www.adimaria.co.uk,100.00%
Garlic Puree,1.000,£4.23,£4.23,6,Waterdene,,Herbs and Spices,,,100.00%
Grated matture Cheddar,1.000,£5.43,£5.43,,Brakes,,Cheese,,,100.00%
Dried Thyme,0.180,£3.09,£17.17,,Waterdene,,Herbs and Spices,,,100.00%
Garlic Cloves fresh peeled,1.000,£5.41,£5.41,,Brakes,,Herbs and Spices,,,100.00%
Frozen dough balls,5.585,£42.99,£7.70,,Express Food Service,,Dough balls,,,100.00%
Salted Butter,10.000,£68.50,£6.85,,AB Fruits,,Dairy,,Waterdene,100.00%
Dried Parsley,0.120,£2.74,£22.83,,Waterdene,,Herbs and Spices,,,100.00%
Meahs Tikka Sauce,3.000,£18.99,£6.33,,Waterdene,,Sauces,,,100.00%
Green Peppers,5.000,£13.95,£2.79,,AB Fruits,,Vegetables,,,100.00%
Greek Yoghurt,1.000,£7.25,£7.25,,Waterdene,,Dairy,,,100.00%
Special Sausage,1.000,£6.50,£6.50,,Best Butchers,,Meat,,,87.00%
Pancetta,1.000,£11.50,£11.50,,Best Butchers,,,,,66.00%
Red Chillis,3.000,£33.65,£11.22,,AB Fruits,,Vegetables,,,100.00%
Ground Cumin,0.400,£4.62,£11.55,,Waterdene,,Herbs and Spices,,,100.00%
Ground Nutmeg,0.500,£13.56,£27.12,,Waterdene,,Herbs and Spices,,,100.00%
