id,name,unit,cost_per_pack,notes,created_at,pack_weight,brand,supplier_part_number,supplier_id,secondary_supplier_id,ordering_url,processing_ratio,raw_meat_tray_capacity_kg,category,stock_check_enabled,stock_check_frequency,stock_check_day,min_cooking_temp_c,estimated_cook_time_min,oven_temp_c,steam_pct,surplus_percent,shelf_life_days,kanban_enabled,kanban_quantity,kanban_unit,kanban_order_amount,perishable,pallet_size,energy_kj,energy_kcal,fat,saturates,carbohydrate,sugars,protein,salt,label_declaration,allergens,fibre,prep_weight_mode,qr_code_url,is_bottle,bottle_size,surplus_mode,surplus_absolute_qty,prep_count_per_portion,is_pasta,requires_use_by_date,stock_in_packs,nutritionals_ai_estimated,case_size_packs,meat_process_minutes,country_of_origin,shopify_variant_id,shopify_product_title,shopify_variant_title,shopify_units_per_pack,nova_class,nova_markers,nova_reasoning,nova_confidence,nova_source,nova_analyzed_at
17,Tomatoes,kg,10.9500,Vegetables,2026-03-19 09:57:55.916,6.0000,,,5,,,0.8744,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
20,Goats Cheese,kg,13.9500,Cheese,2026-03-19 09:57:55.935,1.0000,,,,,,1.0000,,cheese,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
29,Artichoke (drained weight),g,3.0000,Vegetables,2026-03-19 09:57:55.978,540.0000,,,,,,1.0000,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
30,Jalapenos (Drained weight),kg,5.6900,Vegetables,2026-03-19 09:57:55.981,3.0000,,,5,,,1.0000,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
35,Chives,g,0.7000,Herbs and Spices,2026-03-19 09:57:56.004,30.0000,,,,,,1.0000,,herb,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
51,Rib Meat,kg,15.0000,Meat,2026-03-19 09:57:56.058,1.0000,,,,,,1.0000,,cooked_meat,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
52,Ghekins,kg,3.8900,Vegetables,2026-03-19 09:57:56.063,1.3500,,,9,,,1.0000,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
53,Pomodori Peeled Plum Tomatoes,kg,2.6400,Vegetables,2026-03-19 09:57:56.067,2.5000,,,5,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
54,Minced Garlic,kg,5.1900,Herbs and Spices,2026-03-19 09:57:56.07,1.3600,,,,,,1.0000,,spice,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
60,Garlic Puree,kg,4.2300,Herbs and Spices,2026-03-19 09:57:56.091,1.0000,,,9,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
56,Burger Meat,kg,9.9000,Meat,2026-03-19 09:57:56.076,1.0000,,,3,,,0.7400,2.9000,raw_meat,f,daily,,70.00,30,150,70,250.00,,f,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,t,f,f,,,,,,,,,[],,,,
64,Frozen dough balls,kg,42.9900,Dough balls,2026-03-19 09:57:56.105,5.5850,,,2,,,1.0000,,dough,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
